道路名称,年份,路龄,车行道小修金�?车行道零星金�?车行道中修金�?掘路修复金额,前一年pci,车道面积,道路属性_主干�?道路属性_次干�?道路属性_快速路,道路属性_支路,pred,,,,,,,
90,2022,6,0,2.27106,24.431646,0.37,79.46,63621,1,0,0,0,84.76793484,86.1,1.332065163
91,2022,6,0.14,0.795648,0,0,79.46,20427,1,0,0,0,84.56443226,85.31,0.745567745
92,2022,6,13.48200784,0.8389,0,0,86.87,34800,1,0,0,0,86.5338348,88.69,2.156165204
93,2022,6,12.14697874,0.74694,0,0,84.16,144392,1,0,0,0,86.65891386,87.46,0.801086138
94,2022,6,43.3636,12.232725,0,0.332225,93.08,143726.615,1,0,0,0,87.42334785,86.96,-0.46334785
95,2022,6,6.2197,9.536145,0,1.160289,94.15,148101.9705,1,0,0,0,88.56967665,89.02,0.45032335
96,2022,6,0,0,0,0,83.9,24186,1,0,0,0,85.92122229,80.76,-5.161222287
97,2022,6,0,0,0,0,83.9,24186,1,0,0,0,85.92122229,80.76,-5.161222287
98,2022,6,37.59,1.1246298,0,0,85.35,5130,1,0,0,0,85.50097404,80.76,-4.740974042
99,2022,6,37.59,1.1246298,0,0,85.35,5130,1,0,0,0,85.50097404,80.76,-4.740974042
100,2022,6,52.44,1.571538,0,0,83.23,14829,1,0,0,0,84.76565841,81.09,-3.675658411
101,2022,6,0,0.041736,0,0,91,8700,0,1,0,0,87.54210765,98.45,10.90789235
102,2022,6,0.69,0.07104,0,0,88.23,17748,0,1,0,0,86.73647905,83.54,-3.196479053
103,2022,6,0,1.9132626,0,0,85.26,15060,0,1,0,0,85.56165885,78.57,-6.991658847
104,2022,6,0,0.08436,0,0,86.08,7142.5,0,1,0,0,85.97986702,95.39,9.410132984
105,2022,6,0,0.601176,0,0.6156,92.64,20227.1,0,1,0,0,88.07924481,75.83,-12.24924481
106,2022,6,0.12,0.218448,0,0,87.82,7410.8,0,1,0,0,86.50843585,86,-0.508435847
107,2022,6,7.47,0.226329,0,0,91.18,14941,0,1,0,0,87.48798344,80.16,-7.327983437
108,2022,6,1.7967,0.688282,0,0.159468,91,53775.7,1,0,0,0,88.0285514,88.04,0.011448601
109,2022,7,25.3072,1.652552,0,0,84.65,120797.118,0,0,1,0,88.10469849,79.46,-8.644698489
110,2022,7,36.7637,2.701855,55.4,0,92.19,188939.082,0,0,1,0,90.21063935,79.46,-10.75063935
111,2022,7,50.27379356,2.20917,0,0,90.91,104131.6,1,0,0,0,87.26264457,86.87,-0.392644575
112,2022,7,2.58,1.19658,0,0,87.07,24174,1,0,0,0,86.46012336,84.16,-2.300123358
113,2022,7,0,0.33,0,0,84.63,47384.56862,1,0,0,0,86.09522835,93.08,6.984771647
114,2022,7,0,0.31,0,0,85.32,47217.27666,1,0,0,0,86.28840865,94.15,7.861591353
115,2022,7,2.3653,2.577998,0,0,88.56,63277.793,1,0,0,0,87.03497206,83.9,-3.134972064
116,2022,7,2.1826,2.224784,0,0.301881,92,38682.06016,1,0,0,0,87.84309603,85.35,-2.493096027
117,2022,7,0.14,0.495504,0,0,92.02,16595,1,0,0,0,87.90567661,83.23,-4.67567661
118,2022,7,7.4328,2.773173,91.08,0,88.75,96949.1187,1,0,0,0,87.23821342,91,3.761786582
119,2022,7,3.954,1.021662,0,0,85.06,48009.94696,1,0,0,0,86.08636646,88.23,2.14363354
120,2022,7,4.0753,2.91602,0,0.68,86.06,84878.88151,1,0,0,0,86.44865166,85.26,-1.188651661
121,2022,7,19.5404,0.781333,0,0.637872,78.6,42032.67295,1,0,0,0,84.07020388,86.08,2.009796121
122,2022,7,0.79,0,0,0,84.89,14770,1,0,0,0,85.93064396,92.64,6.709356043
123,2022,7,0.12302,2.276759,0,0.423616,86.53,78489,1,0,0,0,86.65678671,87.82,1.163213291
124,2022,7,0.295248,0.66392,47.0409,93.83124,73.93,28240,0,1,0,0,81.88111249,91.18,9.298887508
125,2022,7,0.53384529,4.76649,58.88,2.8,88.34,84052,0,1,0,0,86.56238094,91,4.437619064
