道路名称,年份,路龄,车行道小修金�?车行道零星金�?车行道中修金�?掘路修复金额,前一年pci,车道面积,道路属性_主干�?道路属性_次干�?道路属性_快速路,道路属性_支路,pred,,,,,,����pci,
191,2019,13,5.357,0,34.8489,0,95.57,57686.2,0,0,1,0,90.19146264,91.25,1.058537364
192,2019,13,5.6228,3.8824,23.95783653,34.24,92.17,259200,1,0,0,0,88.21521838,87.76,-0.455218376
193,2019,13,35.7774,0,0,2.2605,82.59,105847,1,0,0,0,84.57152028,89.2,4.628479724
194,2019,13,35.7774,0,0,2.2605,82.59,105847,1,0,0,0,84.57152028,89.2,4.628479724
195,2019,13,9.8138,1.9254,5.7671,5.88,95.57,63748,1,0,0,0,87.93670567,84.67,-3.266705673
196,2019,13,66.9306,1.039,0,0,85.19,43960.1,1,0,0,0,84.29742359,77.82,-6.477423592
197,2019,13,1.3602,0,14.91613433,1.5484,91.77,92646.2,1,0,0,0,87.45698174,87.8,0.343018259
198,2019,13,46.055,1.2291,61.21203,0,88.31,44090,1,0,0,0,85.3608208,87.87,2.509179196
199,2019,13,14.6173,2.73,0,2.7674,82.38,50940,1,0,0,0,84.06201869,81.6,-2.462018695
200,2019,13,0,0.8546,106.401,0.912,84.25,33134.2,1,0,0,0,84.8138266,89.9,5.086173398
201,2019,13,6.8868,0.3587,2.299704,0,84.59,19596,1,0,0,0,84.76152601,90.03,5.268473988
202,2019,13,0,0.846,0,0.5307,86.44,33910,1,0,0,0,85.43895821,83.82,-1.618958212
203,2019,13,16.5907,1.39682,0,0.51,82.19,116272,0,1,0,0,84.13477976,78.63,-5.504779756
204,2019,13,3.19895,3.97524,0,0,84.51,36132,0,1,0,0,83.9976518,81.66,-2.337651801
205,2019,14,0.42075,0.343719,0,0,92.56,27311.25,1,0,0,0,87.00324142,93.46,6.456758585
206,2019,14,85.5988,1.7144,6.65454,0,82.35,65842.6,1,0,0,0,83.34046363,83.37,0.029536374
207,2019,14,0,1.37361,0,0,85.75,85220.7,1,0,0,0,85.45529375,78.06,-7.39529375
208,2019,14,24.231756,3.37811,0,6.4116,81.34,112338,1,0,0,0,83.94936419,85.42,1.470635809
209,2019,14,0.155428,1.82726,0,0,86.1,50385,1,0,0,0,85.22052327,80.51,-4.710523267
210,2019,14,13.85892,2.8485,0,8.9,90.71,70854.5,1,0,0,0,86.3356588,85,-1.335658803
211,2019,14,0,1.3715,0,1132,86.57,334809,1,0,0,0,85.21875935,86.72,1.501240653
212,2019,14,32.3667,3.381908,84.2725,4.521,87.34,131269.75,1,0,0,0,85.591949,88.78,3.188050996
213,2019,14,0,0.36714,0,0,91.77,34475,1,0,0,0,86.84101057,88.93,2.088989429
214,2019,15,0,0,0,0,79.98,21450,0,0,1,0,85.37977361,76.4,-8.97977361
215,2019,15,0,0.6156,0,0,89.48,61649,1,0,0,0,86.23727737,88.56,2.322722631
216,2019,15,0,0.493529,0,0,85.8,23596.75,1,0,0,0,84.90928973,84.48,-0.429289731
217,2019,15,52.655,1.180967,0,0,80.6,23520.8,1,0,0,0,82.79589512,90.22,7.424104875
218,2019,15,13.65479,3.36545,0,0,90.23,55594,1,0,0,0,85.91048203,80.49,-5.420482032
219,2019,15,18.57994,1.33985,91.2939,15.9447,70.74,83490,1,0,0,0,80.97202715,74.37,-6.602027146
220,2019,15,0,4.439,0,62.256,81.06,50296,1,0,0,0,83.26351046,83.7,0.436489543
221,2019,16,0,0.1477,0,0,95.08,34028,1,0,0,0,87.49961685,93.03,5.530383153
222,2019,16,0,3.3102,0,0,95.19,57420.3,1,0,0,0,87.36551666,96.6,9.234483336
223,2019,16,10.76272,1.39049,0,0,82.54,15289.5,1,0,0,0,83.55415166,83.14,-0.414151663
224,2019,16,16.59344,2.8485,0,0,68.86,1239.5,1,0,0,0,79.50993932,81.81,2.300060676
225,2019,16,117.4209,4.6631,28.58,3.765,71.01,402177.1,1,0,0,0,82.41662007,84.57,2.15337993
226,2019,16,96.0946,2.7114,0,0,86.16,41702,1,0,0,0,83.66143977,80.29,-3.37143977
227,2019,16,23.9189,1.6458,11.506,0,85.46,20532,1,0,0,0,84.21595489,86.79,2.574045112
228,2019,16,7.3733,0.5022,0,0,85.46,25839.7,1,0,0,0,84.58764683,82.29,-2.29764683
229,2019,16,0,2.1079,7.8141,0,86.86,16935,1,0,0,0,84.8332322,89.4,4.566767795
230,2019,16,14.853956,0.24054,168.12,10.75,88.33,36480,1,0,0,0,85.36672956,87.15,1.783270439
231,2019,16,15.10836,1.1605,28.984,0,85.03,94500,1,0,0,0,84.86143999,79.86,-5.001439991
232,2019,16,3.06878,0.413771,0,19.447,84.62,3660,1,0,0,0,84.18379134,84.66,0.476208656
233,2019,16,0,0.277465,0,0,100,12328.5,1,0,0,0,88.71187992,100,11.28812008
234,2019,16,0,0.4705,0,0,96.74,12657.4,1,0,0,0,87.76737934,98.56,10.79262066
235,2019,16,139.3901,6.4974,88.525,0,85.97,202331.3,1,0,0,0,84.08157855,90.15,6.068421452
236,2019,16,0,0.6309,9.1321,0,88.28,27987.3,1,0,0,0,85.48094646,76.76,-8.720946465
237,2019,16,2.5407,2.54255,39.204,4.9973,89.87,52804.29,1,0,0,0,85.87393481,86.08,0.206065187
238,2019,16,3.9417,2.989237,0,0,89.87,48751.22,1,0,0,0,85.7885203,88.87,3.081479697
239,2019,16,18.58405,1.3715,0,1,85.56,16775,1,0,0,0,84.30426033,90.25,5.945739665
240,2019,16,0,1.1025,0,0,85.67,56649.8,1,0,0,0,84.93544003,82.22,-2.715440025
241,2019,16,0,0,0,77.15,80.89,159394.5,1,0,0,0,84.38724666,76.57,-7.817246656
242,2019,16,0,0.1224,39.796,0,96.85,75870,1,0,0,0,88.31833925,93.58,5.261660745
243,2019,16,0,0.5243,2.4665,0,88.82,68921,1,0,0,0,85.97535646,93.72,7.744643543
244,2019,16,0,1.0255,197.7,0,92.04,58399.2,1,0,0,0,86.73206055,92.39,5.657939453
245,2019,16,15.42072,1.52975,6.3971,0,81.19,17850.1,1,0,0,0,83.13559519,84.98,1.844404812
246,2019,16,0,0,0,0,85.76,22890,1,0,0,0,84.7979364,95.79,10.9920636
247,2019,16,0,1.6785,9.15,0,100,42411.4,1,0,0,0,88.77997368,97.57,8.790026319
248,2019,16,0,0.8092,0,10.69,92.26,20376,1,0,0,0,86.49414039,93.76,7.265859615
249,2019,16,0,1.95597,0,0,80.13,20742.8,1,0,0,0,83.00056702,81.85,-1.150567019
250,2019,16,0,0,0,0,84.87,36070,1,0,0,0,84.65794238,81.49,-3.167942384
251,2019,16,0,0,0,0,70.63,53021.2,1,0,0,0,80.86147989,58.26,-22.60147989
252,2019,16,0,2.7367,0,1.26,68.6,100362.8,1,0,0,0,80.47159146,64.31,-16.16159146
253,2019,16,0,2.7367,0,0,89.15,100362.8,1,0,0,0,86.08247539,85.27,-0.812475388
254,2019,16,0,0.9463,0,0,92.09,43547,1,0,0,0,86.64402379,93.5,6.855976207
255,2019,16,0,0.2237,13.629,0,87.3,74403,1,0,0,0,85.6270408,93.06,7.432959197
256,2019,16,25.4885,1.7249,188.5,9.633,91.26,73991.5,1,0,0,0,86.16752169,91.72,5.552478311
