道路名称,路龄,车道面积,车行道小修金额,车行道零星金额,车行道中修金额,掘路修复金额,前一年pci,当年pci,道路属性,年份
2049,3,142458.1,0.36672262,13.843564,0,0,94.7,83.89,主干路,2022
2050,3,16856.2,0,0.1647795,0,0,90.81,86.92,主干路,2022
2051,3,22995,0.14,0.1647795,0,0,92.3,86.92,主干路,2022
2052,3,10632,0,0.3044952,0,0,85.1,84.51,主干路,2022
2053,3,32927.1,0,0.1489842,0,0,91.16,81.82,主干路,2022
2054,3,43232,0,0.4392714,0,0,85.14,95.01,主干路,2022
2055,3,9662,0,0.1132,0,0,70.71,90.7,主干路,2022
2056,3,10913,0,0.024,0,0,86.13,87.55,次干路,2022
2057,4,7163,13.48,0.00666,0,0,85.05,91.14,次干路,2022
2058,4,7563.7,3.95,0.141636,0,0,91.68,85.01,次干路,2022
2059,4,5423.9,0.16,0,0,0,81.87,89.17,次干路,2022
2060,4,325713,3.78,4.757206,0,0,83.87,91.88,主干路,2022
2061,4,36650,0.1482391,3.07244,0,3.70664,93.08,84.27,次干路,2022
2062,4,68054,14.4883163,0.953,0,0,94.15,86.35,主干路,2022
2063,4,36398,0,0.2586,0,0,88.91,92.09,主干路,2022
2064,4,12025.12679,0.2754,0.13926,0,0,88.61,88.76,主干路,2022
2065,4,12391.1982,4.6662,0.17302,0,0,90.11,87.11,主干路,2022
2066,4,33941,0,1.066932,0,0,82.22,94.7,主干路,2022
2067,4,25444,0.15,1.86036,0,0,90.03,90.81,主干路,2022
2068,4,90833.5,1.56,2.394048,0,19.77,90.8,92.3,主干路,2022
2069,4,14172,0.13,0.373071,0,0,75.5,85.1,次干路,2022
2070,5,384394,0.6434,6.895902,0,0,92.25,91.16,主干路,2022
2071,5,34747.5,0.969,1.161133,0,0.11394,73.27,85.14,主干路,2022
2072,5,62000,0,3.24,0,0,81.44,70.71,主干路,2022
2073,5,30635.4,0,0.180264,0,23.68,86.95,86.13,主干路,2022
2074,5,51657.9,0.46,0.8368512,0,0,90.74,85.05,主干路,2022
2075,5,34658.8,0,0.3958,0,0,87.04,91.68,主干路,2022
2076,5,15826,0,6.393489,0,0,88.52,81.87,主干路,2022
2077,5,15825,16.97779124,15.09933,0,0,90.09,83.87,主干路,2022
2078,5,90329.03138,0,0.55,0,0,91.73,93.08,主干路,2022
2079,5,90010.12334,0,0.66,0,0,85.49,94.15,主干路,2022
2080,5,275236.4677,10.6413,5.231112,0,2.415024,85.74,88.91,主干路,2022
2081,5,283615.2736,31.0515,2.637289,0,1.959304,86.1,88.61,主干路,2022
2082,5,20770,0,0.146856,0,0,85.31,90.11,主干路,2022
2083,5,9399.2,43.02,1.429458,0,0,88.69,82.22,主干路,2022
2084,5,22678.5,0,0.305317,0,0,87.46,90.03,主干路,2022
2085,5,24552,0,0.150232,0,0,86.96,90.8,主干路,2022
2086,5,11378.6,0.19,2.4699498,0,0,89.02,75.5,主干路,2022
2087,5,48624,0,0.0484,0,0,80.76,92.25,次干路,2022
2088,5,27723.5,1.09,1.2790974,0,34.6,80.76,73.27,次干路,2022
2089,5,95399,0.12302,0.5486,0,0,81.09,81.44,主干路,2022
2090,5,32544,17.4,2.1699612,0,0,98.45,86.95,次干路,2022
2091,5,44698.8,0,0.2628,0,0,83.54,90.74,次干路,2022
2092,5,43811.1,75.4214465,5.85525,0,0,78.57,87.04,次干路,2022
2093,5,87108,27.7353099,0.792305,0,0,95.39,88.52,主干路,2022
2094,6,46097,0,1.806582,0,0,75.83,90.09,快速路,2022
2095,6,723374,29.5008,5.309815,58.18,0,86,91.73,主干路,2022
2096,6,122512,18.76489536,4.34887,0,0,80.16,85.49,主干路,2022
2097,6,26564.5,0,0,0,0,88.04,85.74,主干路,2022
2098,6,63621,0,2.27106,24.431646,0.37,79.46,86.1,主干路,2022
2099,6,20427,0.14,0.795648,0,0,79.46,85.31,主干路,2022
2100,6,34800,13.48200784,0.8389,0,0,86.87,88.69,主干路,2022
2101,6,144392,12.14697874,0.74694,0,0,84.16,87.46,主干路,2022
2102,6,143726.615,43.3636,12.232725,0,0.332225,93.08,86.96,主干路,2022
2103,6,148101.9705,6.2197,9.536145,0,1.160289,94.15,89.02,主干路,2022
2104,6,24186,0,0,0,0,83.9,80.76,主干路,2022
2105,6,24186,0,0,0,0,83.9,80.76,主干路,2022
2106,6,5130,37.59,1.1246298,0,0,85.35,80.76,主干路,2022
2107,6,5130,37.59,1.1246298,0,0,85.35,80.76,主干路,2022
2108,6,14829,52.44,1.571538,0,0,83.23,81.09,主干路,2022
2109,6,8700,0,0.041736,0,0,91,98.45,次干路,2022
2110,6,17748,0.69,0.07104,0,0,88.23,83.54,次干路,2022
2111,6,15060,0,1.9132626,0,0,85.26,78.57,次干路,2022
2112,6,7142.5,0,0.08436,0,0,86.08,95.39,次干路,2022
2113,6,20227.1,0,0.601176,0,0.6156,92.64,75.83,次干路,2022
2114,6,7410.8,0.12,0.218448,0,0,87.82,86,次干路,2022
2115,6,14941,7.47,0.226329,0,0,91.18,80.16,次干路,2022
2116,6,53775.7,1.7967,0.688282,0,0.159468,91,88.04,主干路,2022
2117,7,120797.118,25.3072,1.652552,0,0,84.65,79.46,快速路,2022
2118,7,188939.082,36.7637,2.701855,55.4,0,92.19,79.46,快速路,2022
2119,7,104131.6,50.27379356,2.20917,0,0,90.91,86.87,主干路,2022
2120,7,24174,2.58,1.19658,0,0,87.07,84.16,主干路,2022
2121,7,47384.56862,0,0.33,0,0,84.63,93.08,主干路,2022
2122,7,47217.27666,0,0.31,0,0,85.32,94.15,主干路,2022
2123,7,63277.793,2.3653,2.577998,0,0,88.56,83.9,主干路,2022
2124,7,38682.06016,2.1826,2.224784,0,0.301881,92,85.35,主干路,2022
2125,7,16595,0.14,0.495504,0,0,92.02,83.23,主干路,2022
2126,7,96949.1187,7.4328,2.773173,91.08,0,88.75,91,主干路,2022
2127,7,48009.94696,3.954,1.021662,0,0,85.06,88.23,主干路,2022
2128,7,84878.88151,4.0753,2.91602,0,0.68,86.06,85.26,主干路,2022
2129,7,42032.67295,19.5404,0.781333,0,0.637872,78.6,86.08,主干路,2022
2130,7,14770,0.79,0,0,0,84.89,92.64,主干路,2022
2131,7,78489,0.12302,2.276759,0,0.423616,86.53,87.82,主干路,2022
2132,7,28240,0.295248,0.66392,47.0409,93.83124,73.93,91.18,次干路,2022
2133,7,84052,0.53384529,4.76649,58.88,2.8,88.34,91,次干路,2022
2134,7,8130.3,0.52,1.8374496,0,6.3605,86.13,84.65,次干路,2022
2135,7,37142,0,0.2664,0,0,81.99,92.19,主干路,2022
2136,7,31172,0,0,0,0,88.63,90.91,主干路,2022
2137,8,20811.5,20.62233105,2.643576,0,0,86.03,87.07,主干路,2022
2138,8,136009,35.90989985,25.05,0,0,81.9,84.63,主干路,2022
2139,8,21272.9,0.79,3.588852,0,0,84.49,85.32,主干路,2022
2140,8,79138.97708,15.3902,4.92896,0.05697,0,75.09,88.56,主干路,2022
2141,8,77435.39832,6.7144,2.83162,0,0,88.01,92,主干路,2022
2142,8,67368.79654,0.1752,0.73006,0.11394,0,82.85,92.02,主干路,2022
2143,8,69286.11574,10.5252,5.489,0,0,87.37,88.75,主干路,2022
2144,8,67794.63379,27.9167,4.220422,14.813534,0,84.18,85.06,主干路,2022
2145,8,58981.3314,0,2.756293,1.5614575,0,83.24,86.06,主干路,2022
2146,8,74880,29.4791638,12.913411,10.709542,0,86.96,78.6,主干路,2022
2147,8,21943,47.92,2.5490706,0,0,87.18,84.89,主干路,2022
2148,8,69732,14.86870238,1.2741,0,0,74.48,86.53,主干路,2022
2149,8,35247,34.87,5.8781604,73.40546,0,86.78,73.93,主干路,2022
2150,8,16725.3,0.28,0.737484,59.2208,1.111992,85.36,88.34,次干路,2022
2151,9,159643,71.7625907,8.367834,0,0,81.08,86.13,主干路,2022
2152,9,33698.25857,35.93826565,5.148802,0,112.3940318,81.82,81.99,主干路,2022
2153,9,98342.95587,5.2927,4.363902,128.75,114.363847,86.49,88.63,主干路,2022
2154,9,86099.18492,7.0404,6.758541,0,0,69.65,86.03,主干路,2022
2155,9,5700,0,0.49585,96.1079,1.78187,80.18,81.9,主干路,2022
2156,9,38643.82,33.25661759,8.878624,0,6.2523,89.68,84.49,主干路,2022
2157,9,79669,0,21.74406,0,0,82.15,75.09,次干路,2022
2158,9,22773,0.12787929,0.50007,0,7.413096,78.25,88.01,主干路,2022
2159,9,62746,13.5771023,0.9706,0,0,85.35,82.85,主干路,2022
2160,10,69851.5,30.25,5.421906,0,0,92.82,87.37,主干路,2022
2161,10,64561.7,42.13453433,31.3314,73.14,30.8484,79.68,84.18,主干路,2022
2162,10,65938,0,6.810627,0,20.55,84.74,83.24,主干路,2022
2163,10,14898.68788,0,0.28,0,0,78.06,86.96,主干路,2022
2164,10,14898.68788,0,0.18,0,0,83.7,87.18,主干路,2022
2165,10,97916.4,112.7279864,7.57945,0,0,87.16,74.48,主干路,2022
2166,10,88075.02205,15.9997,17.978888,0,0.59571,87.57,86.78,主干路,2022
2167,10,77109.61648,1.5254,4.427413,0,38.44341588,86.49,85.36,主干路,2022
2168,10,57614,0,1.2449,0,29.97167838,80.12,81.08,主干路,2022
2169,10,10986,5.5,0.7365738,0,0,76.8,81.82,支路,2022
2170,11,197472.5309,56.28,7.7436819,0,0,74.87,86.49,主干路,2022
2171,11,27816,0.35,1.479852,0,0,85.15,69.65,主干路,2022
2172,11,10440,0,0.077478,0,0,88,80.18,主干路,2022
2173,11,34381.31685,10.6918,1.92432,0,0,85.9,89.68,主干路,2022
2174,11,30100.8174,9.6962,2.12055,0,0,87.26,82.15,主干路,2022
2175,11,39356.5,0,2.802528,0,0,79.41,78.25,主干路,2022
2176,11,50252.1,60.4405231,7.0153,0,1.158325,87.85,85.35,主干路,2022
2177,11,43737.5,0,6.34688,0,71.3541438,85.12,92.82,主干路,2022
2178,11,18256.4,0.94,1.8618696,0,0,85.79,79.68,次干路,2022
2179,11,27265,41.47177791,2.473302,0,0,88.51,84.74,次干路,2022
2180,11,43130,0,5.784354,0,0,89.24,78.06,次干路,2022
2181,11,11584,0,0.067488,0,0,91.95,83.7,主干路,2022
2182,12,870062.1,248.51,10.769553,0,0,72.78,87.16,主干路,2022
2183,12,118126.3766,142.66,6.19494552,0,0,75.89,87.57,主干路,2022
2184,12,23584.84416,51.45,0.77436819,93.14,4.14914,95.04,86.49,主干路,2022
2185,12,294330,0,3.96,0,0,80.12,80.12,主干路,2022
2186,12,61289.25,0,9.25,0,0,81.15,76.8,主干路,2022
2187,12,12975,7.95730266,1.7007,0,0,91.37,74.87,主干路,2022
2188,12,14310.06161,0,3.80855,0,0,94.14,85.15,主干路,2022
2189,12,41195.63191,36.8473,6.31945,0,2.43036,86.77,88,主干路,2022
2190,12,12528.44832,1.275,4.241311,0,0,86.84,85.9,主干路,2022
2191,12,36066.74518,51.185,4.263888,0,0,79.41,87.26,主干路,2022
2192,12,9252.3,0,8.445275,0,0,85.29,79.41,次干路,2022
2193,12,468646.3,39.73,24.869937,0,31.85162275,72.13,87.85,主干路,2022
2194,12,468646.3,39.73,24.869937,0,31.85162275,72.13,87.85,主干路,2022
2195,12,468646.3,39.73,24.869937,0,31.85162275,72.13,87.85,主干路,2022
2196,12,207217,0.9835449,21.1511,0,0,80.39,85.12,主干路,2022
2197,12,45360.6,0,1.1563,0,0,90.78,85.79,主干路,2022
2198,12,28312.8,0,0.8125,0,0,90.3,88.51,主干路,2022
2199,12,208107,0,1.990785,0,0,84.35,89.24,主干路,2022
2200,12,337188.9876,0.38,0,0,0,88.23,91.95,快速路,2022
2201,12,337188.9876,0.38,0,0,0,88.23,91.95,快速路,2022
2202,12,337188.9876,0.38,0,0,0,88.23,91.95,快速路,2022
2203,12,71308.9,6.054525,2.315238,0,0,87.04,72.78,主干路,2022
2204,13,33086,2.0925702,1.2201,0,1.06,84.27,75.89,主干路,2022
2205,13,87205.5,11.49,1.07781,140.48,0,86.17,95.04,主干路,2022
2206,13,44920.5,0,0.31,0,0,98.76,80.12,主干路,2022
2207,13,10658,0,0,0,0,93.47647893,81.15,主干路,2022
2208,13,108806,9.31,0.353424,86.14,0,88.04,91.37,主干路,2022
2209,13,50653.8,0,0.5654,707.2396,0,77.52,94.14,主干路,2022
2210,13,40080,22.45700558,2.119495,0,0,93.13,86.77,主干路,2022
2211,13,84760,13.59912288,3.893,0,0,87.76,86.84,次干路,2022
2212,13,13692.5,0,0,0,0,70.42,79.41,次干路,2022
2213,14,20249.29821,0,0.47286,0,0,86.56,85.29,主干路,2022
2214,14,80694.4,0,0,0,0,84.87,72.13,主干路,2022
2215,14,80694.4,0,0,0,0,84.87,72.13,主干路,2022
2216,14,20268,0,0,0,0,90.05,80.39,主干路,2022
2217,14,111034.2,0.2461,13.435425,0,0,81.29,90.78,主干路,2022
2218,14,118035.5791,0.2264,9.547328,0,0,77.63,90.3,主干路,2022
2219,14,16353,0,4.16,0,0,72.38,84.35,主干路,2022
2220,14,8744.5,0.14,0.385503,0,0,85.08,88.23,次干路,2022
2221,14,14269.9,0,0,0,0,84.8,87.04,次干路,2022
2222,14,242814.25,2.8608,11.046272,0,0.651161,83.07,84.27,主干路,2022
2223,14,242814.25,2.8608,11.046272,0,0.651161,83.07,84.27,主干路,2022
2224,14,57460.55,29.9039,0.834716,0,0,99.08,86.17,主干路,2022
2225,14,72843.282,0,0.034815,0,0,68.52,98.76,主干路,2022
2226,14,12301.98,0.8644,0.24054,0,0,80.73,93.47647893,主干路,2022
2227,14,83082.81,21.0948,2.924249,0,3.3235789,83.54,88.04,主干路,2022
2228,14,83082.81,21.0948,2.924249,0,3.3235789,83.54,88.04,主干路,2022
2229,14,141018.2,2.8222,10.5289,0,0,88.75,77.52,主干路,2022
2230,14,169285.72,51.4337,0.698199,0,0.2325575,92.55,93.13,主干路,2022
2231,14,63039.4,0.12302,2.780769,0,0,79.93,87.76,主干路,2022
2232,14,64400,0.52,4.3362372,0,0,93.27,70.42,主干路,2022
2233,14,115053.14,9.3948,0.940638,0,0.212624,79.32,86.56,主干路,2022
2234,14,271131.73,7.9497,10.291947,0,0.465115,68.79,84.87,主干路,2022
2235,14,29103,0.9614,3.118791,0,0,84.41,90.05,主干路,2022
2236,14,82599,2.1624,4.654027,0,14.49734,80.36,81.29,主干路,2022
2237,14,144684.05,0.143834984,11.85171,0,4.50092,95.54,77.63,主干路,2022
2238,14,23324,0,3.120432,0,0,86.86,72.38,主干路,2022
2239,14,36406.4,1.41067034,0,0,0,79.89,85.08,主干路,2022
2240,14,57151.5,18.2955344,8.061486,0,0,80.38,84.8,主干路,2022
2241,14,38815.18,5.1475,2.728019,0,3.92371014,92.1,83.07,主干路,2022
2242,14,66248,0,5.77089,0,0,78.98,99.08,主干路,2022
2243,14,130225.25,12.3127533,51.14838,0,4.487682,65.27,68.52,主干路,2022
2244,15,30512.11947,0,1.9174473,0,1.881,84.52,80.73,主干路,2022
2245,15,16779,0,0.2081028,0,0,76.56,83.54,主干路,2022
2246,15,34010,0,0,0,0,95.18,88.75,主干路,2022
2247,15,61987,0,0.082362,0,0,75.09,92.55,主干路,2022
2248,15,28800,17.72210941,5.0957,0,0,75.09,79.93,主干路,2022
2249,15,54746,0,0,0,0,85.76,93.27,主干路,2022
2250,15,65126.4,0.34,2.294037,0,0,91.3,79.32,主干路,2022
2251,15,36000,0,5.325181,0,0,76,68.79,主干路,2022
2252,15,67160,68.27,1.473636,0,0,87.07,84.41,主干路,2022
2253,15,26725.2,0,6.5492,0,0,86.21,80.36,主干路,2022
2254,15,45043,0,0,0,0,88.81,95.54,主干路,2022
2255,15,38376,26.2650846,6.591957,0,2.084985,68.05,86.86,主干路,2022
2256,15,31120,65.83,1.745586,0,0,84.08,79.89,主干路,2022
2257,15,14882.9,0,0.615717,50.07,0,84.78,80.38,主干路,2022
