道路名称,路龄,车道面积,车行道小修金额,车行道零星金额,车行道中修金额,掘路修复金额,前一年pci,当年pci,道路属性,年份,道路名称2
2244,15,30512.11947,0,0,0,0,84.52,80.73,主干路,2022,三里河路
2245,15,16779,0,0,0,0,76.56,83.54,主干路,2022,五四大街
2246,15,34010,0,0,0,0,95.18,88.75,主干路,2022,地安门东大街
2247,15,61987,0,0,0,0,75.09,92.55,主干路,2022,地安门西大街
2248,15,28800,0,0,0,0,75.09,79.93,主干路,2022,东大桥路
2249,15,54746,0,0,0,0,85.76,93.27,主干路,2022,东四十条
2250,15,65126.4,0,0,0,0,91.3,79.32,主干路,2022,东直门外大街
2251,15,36000,0,0,0,0,76,68.79,主干路,2022,丰葆路
2252,15,67160,0,0,0,0,87.07,84.41,主干路,2022,阜成门外大街
2253,15,26725.2,0,0,0,0,86.21,80.36,主干路,2022,工人体育场东路
2254,15,45043,0,0,0,0,88.81,95.54,主干路,2022,平安里西大街
2255,15,38376,0,0,0,0,68.05,86.86,主干路,2022,蒲黄榆路
2256,15,31120,0,0,0,0,84.08,79.89,主干路,2022,太平街
2257,15,14882.9,0,0,0,0,84.78,80.38,主干路,2022,天桥南大街
