道路名称,年份,路龄,车行道小修金额,车行道零星金额,车行道中修金额,掘路修复金额,前一年pci,车道面积,道路属性_主干路,道路属性_次干路,道路属性_快速路,道路属性_支路,pred
76.0,2016.0,11.0,0.0,0.0,0.0,0.0,86.52,25356.0,1.0,0.0,0.0,0.0,85.80247740983964
77.0,2016.0,11.0,13.771849,0.403643,188.1092,2.77425,86.33,131269.75,1.0,0.0,0.0,0.0,86.32323175311089
78.0,2016.0,12.0,14.57808,0.142425,0.0,0.0,83.49,21450.0,0.0,0.0,1.0,0.0,86.58488894820215
79.0,2016.0,12.0,12.770181,0.225348,0.0,0.0,90.81,23520.8,1.0,0.0,0.0,0.0,86.61208415985108
80.0,2016.0,12.0,36.78496,3.154872,171.0077,5.9925,99.01,83490.0,1.0,0.0,0.0,0.0,88.58881107211114
81.0,2016.0,12.0,24.0271,0.2646,0.0,0.0,76.97,7220.0,1.0,0.0,0.0,0.0,82.51420786380768
82.0,2016.0,12.0,0.0,5.7455,0.0,0.29,86.52,142458.1,1.0,0.0,0.0,0.0,85.97344326376916
83.0,2016.0,13.0,30.809999999999995,0.8145,76.3102,0.0,88.94,27851.000000000004,1.0,0.0,0.0,0.0,85.65091715931894
84.0,2016.0,13.0,150.1455,5.4771,250.4599,0.0,80.62,402177.1,1.0,0.0,0.0,0.0,84.53240056991578
85.0,2016.0,13.0,0.4514,0.2848,0.0,0.0,89.34,57311.0,1.0,0.0,0.0,0.0,86.49385427713395
86.0,2016.0,13.0,67.36002,4.9834,0.0,2.3572,90.45,67534.6,1.0,0.0,0.0,0.0,85.46564340472223
87.0,2016.0,13.999999999999998,0.0,3.5182000000000007,37.6146,0.0,90.32,16775.0,1.0,0.0,0.0,0.0,85.95037049889565
88.0,2016.0,13.999999999999998,0.0,1.1711,0.0,0.8199999999999998,84.41,35310.0,1.0,0.0,0.0,0.0,84.69355664253236
89.0,2016.0,13.999999999999998,53.368,1.0676,0.0,0.0,85.72,41920.0,1.0,0.0,0.0,0.0,84.43840281248093
90.0,2016.0,13.999999999999998,0.0,0.2532,0.0,0.0,100.0,17186.0,0.0,1.0,0.0,0.0,89.03269932270051
91.0,2016.0,15.0,4.145475,0.0,0.0,0.0,79.37000000000002,22678.5,1.0,0.0,0.0,0.0,83.10420040488243
92.0,2016.0,15.0,6.503435,0.0692,0.0,0.0,84.86,24552.0,1.0,0.0,0.0,0.0,84.61186900377274
93.0,2016.0,15.0,34.7791,2.0172,0.0,0.0,81.36,60398.0,1.0,0.0,0.0,0.0,83.41417755246162
94.0,2016.0,15.0,0.0,2.1965,0.0,0.0,94.04,25444.0,1.0,0.0,0.0,0.0,87.05969679355623
95.0,2016.0,15.0,1.991832,0.0,0.0,0.0,72.51,9518.0,1.0,0.0,0.0,0.0,81.11337208747864
96.0,2016.0,15.0,15.261012999999998,0.0,0.0,0.0,75.72,15000.000000000002,1.0,0.0,0.0,0.0,81.9105443239212
97.0,2016.0,15.0,12.7567,1.5635,0.0,0.0,85.29,52980.0,1.0,0.0,0.0,0.0,84.72821057200433
98.0,2016.0,15.0,43.0388,2.5573,0.0,9.211499999999997,89.15999999999998,33941.0,1.0,0.0,0.0,0.0,85.11279977679254
99.0,2016.0,16.0,0.87411,0.0,0.0,0.0,84.8,26564.500000000004,1.0,0.0,0.0,0.0,84.5473851788044
100.0,2016.0,16.0,21.7937,8.3784,0.0,0.0,62.5,34800.0,1.0,0.0,0.0,0.0,77.65262155771255
101.0,2016.0,16.0,0.0,0.4578999999999999,0.0,0.0,69.47,8700.0,0.0,1.0,0.0,0.0,79.10279732465744
102.0,2016.0,16.0,0.0,1.4517,0.0,0.0,75.21,17748.0,0.0,1.0,0.0,0.0,80.83697160959244
103.0,2016.0,16.0,0.0,0.3249,0.0,0.0,79.27,15060.0,0.0,1.0,0.0,0.0,82.20299920678139
104.0,2016.0,16.0,0.0,0.1435,0.0,0.0,76.53,14941.0,0.0,1.0,0.0,0.0,81.37411622405052
